species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.5568040139092663,0.054560909825628216,0.6113649237348945,0.030422777688598097,0.03243599711889255,0.01636572753214909,0.0056957281364444145,0.05183147497752118,1,0.3225806451612903
Abroscopus_albogularis,LC,0.28896791643299896,0.10226306251570334,0.3912309789487023,0.018610377523215434,0.018916798813160413,0.01238853916864712,0.0020428493559362052,0.03442023390143883,2,0.5620347394540943
Abroscopus_schisticeps,LC,0.25389623441257914,0.08688998243870731,0.34078621685128646,0.020463388944113946,0.019418831334422623,0.00786421113997623,0.005696793176353644,0.03049265598676373,3,0.5125448028673835
Abroscopus_superciliaris,LC,0.24569858975942233,0.06872639333753727,0.3144249830969596,0.017044988850681998,0.015666203333399298,0.009490318738170087,0.0019925850368969268,0.027556560006959538,4,0.6032533774469259
Aburria_aburri,LC,0.5726267008157634,0.1986146964253296,0.771241397241093,0.022653180941999987,0.024528053920529546,0.015204642420151996,0.010041077408771233,0.05401009715897207,5,0.4619520264681555
Acanthagenys_rufogularis,LC,0.09918135247442181,0.3199296699872637,0.4191110224616855,0.01589299428393988,0.016769002471636495,0.011916903714025066,0.002469416980043347,0.033688586178182565,6,0.6366142817755721
Acanthisitta_chloris,LC,0.2866726155762032,0.2667494052645431,0.5534220208407463,0.0284226092066015,0.02820821337647146,0.01316791136937126,0.00697827915989077,0.04130833712575099,7,0.35208161014612627
Acanthiza_apicalis,LC,0.19787332709216388,0.1382992164523666,0.33617254354453047,0.013364805032878836,0.013243292545207983,0.008007712704461104,8.03952533782479e-4,0.023157030829933013,8,0.7240143369175627
Acanthiza_chrysorrhoa,LC,0.19306199785426598,0.11983954407509154,0.3129015419293575,0.016018037884286265,0.01621472599957446,0.009389661456154837,0.0034846446282618803,0.027849453690468227,9,0.6320650675489385
Acanthiza_ewingii,LC,0.20071051318939964,0.13683356163537055,0.3375440748247702,0.01271919255122498,0.012991915451191152,0.007434731708347503,0.003218515744784308,0.023543657144187453,10,0.7464846980976013
Acanthiza_inornata,LC,0.25929299951207724,0.20824407530475428,0.4675370748168315,0.023539404148439712,0.02513663918513888,0.011414693822855924,0.008229966232087296,0.04054192810826359,11,0.4437551695616212
Acanthiza_iredalei,LC,0.2296804789560119,0.1396780272758352,0.3693585062318471,0.019427047842178864,0.019124189354491627,0.011244470927656127,0.002732739165194101,0.03240471515535562,12,0.539840088227185
Acanthiza_katherina,VU,0.21218484014296496,0.04068896449413602,0.25287380463710096,0.04951885013868113,0.05321985499794456,0.013827675391639264,0.03929700326009064,0.07817082684476259,13,0.16377171215880892
Acanthiza_lineata,LC,0.21627611076697217,0.3043274015231523,0.5206035122901245,0.03377883109266975,0.034123173998587594,0.007781655992720071,0.022064875361426088,0.04571342345206268,14,0.27543424317617865
Acanthiza_murina,LC,0.19607265614766203,0.10985097707300136,0.3059236332206634,0.006919646655904092,0.009333119437113064,0.0075628884109028224,7.287881409325106e-4,0.02314826360216371,15,0.9492693686242073
Acanthiza_nana,LC,0.2200931067794189,0.11307188124580486,0.33316498802522376,0.012058207296716118,0.012169509792687029,0.006597253631532882,0.004199880650776176,0.02419340634420609,16,0.7697821891370279
Acanthiza_pusilla,LC,0.19154411109855482,0.15699453790511636,0.34853864900367115,0.012764845409723308,0.01427331442458648,0.005296971091225319,0.007514535832003659,0.02321751611368575,17,0.7442790184725668
Acanthiza_reguloides,LC,0.22417528564777103,0.16539539189305824,0.3895706775408293,0.02249967031744564,0.021863777781193937,0.007557646326302314,0.008213984466125746,0.0313088991320207,18,0.46512269092914255
Acanthiza_robustirostris,LC,0.22622497536765268,0.035021312287181486,0.26124628765483415,0.01407107057942754,0.014177692093796431,0.006111844318494566,0.0064614702139893475,0.022023545743813322,19,0.6968569065343259
Acanthiza_uropygialis,LC,0.21667549872361486,0.13521467185763716,0.35189017058125205,0.016972642677648607,0.017584576670221726,0.008815465351821226,0.0059046394353474375,0.031601093072924705,20,0.6050454921422663
Acanthorhynchus_superciliosus,LC,0.35017155511409764,0.17012363135011743,0.5202951864642151,0.018498771151386026,0.022055678271161158,0.013311851671275236,0.008296884630145602,0.04494061304305988,21,0.5654811138682106
Acanthorhynchus_tenuirostris,LC,0.21961949442207618,0.17078332759737028,0.3904028220194464,0.016149267617728294,0.017611849655285287,0.010181519890430174,0.0031232439039786215,0.032245444869681436,22,0.6283429831816929
Acanthornis_magna,LC,0.17508500878381286,0.06396831260127747,0.23905332138509033,0.013850455237645224,0.012786085697691064,0.006239129415745258,0.0023358591994970136,0.021053269454615303,23,0.7052660601047698
Accipiter_albogularis,LC,0.5101916260661041,0.20489292775961251,0.7150845538257167,0.027257391407872218,0.028185112543726815,0.017420253468584643,0.005324767445204105,0.053781604555972466,24,0.37344913151364767
Accipiter_badius,LC,0.42569933256464487,0.293825812600546,0.719525145165191,0.042697519001089104,0.040216319155098636,0.01695427365207035,0.013592809875645463,0.06321358238829858,25,0.1950647918389854
Accipiter_bicolor,LC,0.502990010273616,0.25593117206389476,0.7589211823375108,0.030639745563583037,0.03181588669169724,0.01645215468195584,0.012720636337042863,0.058590228113184685,26,0.3194099807003033
Accipiter_brachyurus,VU,0.4771327199567362,0.13725329454656682,0.614386014503303,0.1414383898369747,0.14383225586638648,0.031745799798534584,0.09155058952413939,0.1830398376058116,27,0.06424041907912875
Accipiter_brevipes,LC,0.33839836132906304,0.37581848662553025,0.7142168479545933,0.036586699082464307,0.031204672210633968,0.023957770620211108,0.0014145908236031885,0.0615188430463004,28,0.24303832368348496
Accipiter_castanilius,LC,0.4123992379730735,0.24195263496916644,0.65435187294224,0.013717892983276046,0.018029100391408454,0.015155878736796967,0.0033921869297462303,0.04425043772611538,29,0.7106424041907913
Accipiter_cirrocephalus,LC,0.46405937626390753,0.1464278593301482,0.6104872355940557,0.02953599529817801,0.027441166890440013,0.021383313565232487,0.0044531118269315936,0.053361594023460385,30,0.3362282878411911
Accipiter_cooperii,LC,0.5327363822758342,0.24555210320343476,0.778288485479269,0.03483785782454114,0.0322204262758215,0.021238189259460968,6.259074711752258e-4,0.05549710218472241,31,0.2612351805900193
Accipiter_erythrauchen,NT,0.4744986127468753,0.14238234075274134,0.6168809534996167,0.06713360515933023,0.0691413877077886,0.0071251379102995034,0.05862456064894367,0.07795980325907827,32,0.11910669975186104
Accipiter_erythropus,LC,0.2746834789929568,0.36476106565373573,0.6394445446466925,0.018807270335266944,0.02592248465517845,0.02241076167104625,0.002038219844571233,0.057021527228876746,33,0.5574855252274608
Accipiter_fasciatus,LC,0.46845013742959096,0.309151410009696,0.777601547439287,0.0457189739094169,0.04433728971748153,0.014982491862502202,0.02107661504755289,0.06654415877819722,34,0.1797628894403088
Accipiter_francesiae,LC,0.15728962934315285,0.28747615305729163,0.4447657824004445,0.016579912994363122,0.017970434754423417,0.0099683551430792,0.0059450330632121896,0.03685818716007585,35,0.61552247036118
Accipiter_gentilis,LC,0.6179181538517099,0.17465235266288054,0.7925705065145905,0.041303995928085105,0.04074904331845194,0.021929987527970953,0.010522910252733478,0.07030380927178465,36,0.2037496553625586
Accipiter_griseiceps,LC,0.3779298286165711,0.34533466690733233,0.7232644955239034,0.022475375310643437,0.025183807959914033,0.01834613564504582,0.0031184317737033207,0.05731098819980368,37,0.46567411083540117
Accipiter_gularis,LC,0.40813664826900825,0.24249491897753223,0.6506315672465405,0.029666804614226758,0.034867689310661344,0.016722516056651666,0.013992855793260246,0.05737352660953825,38,0.3345740281224152
Accipiter_gundlachi,EN,0.5369174698186245,0.2522961510242511,0.7892136208428757,0.3325020613472644,0.33441424851759893,0.056714624295225384,0.26167362698874386,0.4149535446355422,39,0.020264681555004136
Accipiter_haplochrous,NT,0.37631155481082096,0.33054208249395883,0.7068536373047798,0.07237319396309294,0.07749547522763232,0.010622659859925086,0.06706401553752533,0.09273497572547973,40,0.11345464571271023
Accipiter_henstii,VU,0.5996059133132537,0.18625615676752613,0.7858620700807799,0.17315051130815062,0.1741688169038544,0.03985836919235864,0.116306430042357,0.23155835108149553,41,0.051695616211745246
Accipiter_imitator,NT,0.34254819316606405,0.32552579598033543,0.6680739891463995,0.06952985341462256,0.07203044962221522,0.007935676558132711,0.0624628086978721,0.08611709915886062,42,0.11552247036118003
Accipiter_luteoschistaceus,VU,0.32632395455149626,0.31664157189590925,0.6429655264474055,0.15036849658922635,0.145869528477152,0.02668524738625804,0.10747238252530081,0.1843969108084478,43,0.0605183347118831
Accipiter_madagascariensis,NT,0.39775362677492176,0.18565342948659766,0.5834070562615195,0.0631447329178122,0.06424392316514699,0.007984832553168597,0.055655841247219374,0.07711734789242511,44,0.1251723187207058
Accipiter_melanochlamys,LC,0.47848445422651265,0.15679038164793843,0.6352748358744511,0.036695155295987845,0.03079903190175125,0.015318606080370922,0.008957587650956122,0.048885667455602404,45,0.2417976288944031
