"space","n_traits","iteration","proc_stat","mantel_r"
"LMD",12,4,0.841303160220864,0.896572802464001
"LMD",12,5,0.86722161332857,0.845061976644136
"LMD",12,6,0.887770347362893,0.872759525011991
"LMD",12,7,0.958077738136167,0.96623208464337
"LMD",12,8,0.902121927570292,0.922781231796732
"LMD",12,9,0.899721355062487,0.909880813312611
"LMD",12,10,0.927685670773511,0.927919414034255
"LMD",12,11,0.94616819808562,0.954183241524271
"LMD",12,12,0.899340437988322,0.908846845469103
"LMD",12,13,0.93907451142631,0.952996533170303
"LMD",12,14,0.885136714010666,0.903671583971349
"LMD",12,15,0.941890542646171,0.948060467237743
"LMD",12,16,0.878289103128115,0.900344325501161
"LMD",12,17,0.851604882403486,0.892618683978928
"LMD",12,18,0.940861312765759,0.93951464558989
"LMD",12,19,0.855148097741394,0.86626716911313
"LMD",12,20,0.897271321985435,0.910505753031033
"LMD",13,1,0.861954083150019,0.863286618158193
"LMD",13,2,0.876388493499594,0.911419979618808
"LMD",13,3,0.897145128537814,0.896580159491007
"LMD",13,4,0.866587206387391,0.909749022077403
"LMD",13,5,0.944191416676384,0.938546225163462
"LMD",13,6,0.949601139791258,0.948032351289394
"LMD",13,7,0.930851159063006,0.936964441081964
"LMD",13,8,0.944729722023994,0.957386648037857
"LMD",13,9,0.882249194442825,0.88658281531427
"LMD",13,10,0.898997899839784,0.907336281178291
"LMD",13,11,0.885614021999788,0.878431932927949
"LMD",13,12,0.844014572674447,0.896543898927106
"LMD",13,13,0.867232757907676,0.872487127901684
"LMD",13,14,0.892385572053469,0.929875463526971
"LMD",13,15,0.922064929488199,0.929930631867439
"LMD",13,16,0.867231684322449,0.874075929157217
"LMD",13,17,0.880000053167408,0.908177855400126
"LMD",13,18,0.895435764542694,0.913897026706343
"LMD",13,19,0.890208959331729,0.913959228522936
"LMD",13,20,0.922450887919509,0.925668445916328
"LMD",14,1,0.868572210079699,0.902977570959439
"LMD",14,2,0.907079459720667,0.928746322024813
"LMD",14,3,0.943276171695622,0.938373767261351
"LMD",14,4,0.915377383539078,0.930446507807373
"LMD",14,5,0.874588765647743,0.849398864696577
"LMD",14,6,0.904837765951482,0.879000070320457
"LMD",14,7,0.869796978667695,0.895146884843955
"LMD",14,8,0.933381299467984,0.950601795279303
"LMD",14,9,0.878710484664223,0.890793101224297
"LMD",14,10,0.902525305886453,0.896855939173009
"LMD",14,11,0.961592374628644,0.970902562311053
"LMD",14,12,0.896796098711396,0.911994859237531
"LMD",14,13,0.903091212313495,0.899044331921956
"LMD",14,14,0.925236589497187,0.916220190039587
"LMD",14,15,0.883593167371448,0.903472564152107
"LMD",14,16,0.871296258298798,0.874746805206534
"LMD",14,17,0.954196243487814,0.969916066041674
"LMD",14,18,0.933550036805781,0.946163340079725
"LMD",14,19,0.929641787268732,0.946081063287902
"LMD",14,20,0.943155858227729,0.938773813238826
"LMD",15,1,0.96013968213123,0.959674815740145
"LMD",15,2,0.911471884281802,0.893571097000284
"LMD",15,3,0.911232805101195,0.940126408831804
"LMD",15,4,0.868949408167606,0.893934782125451
"LMD",15,5,0.899880375754625,0.896558577609352
"LMD",15,6,0.932441252430547,0.947901363660764
"LMD",15,7,0.937155399976744,0.947520966397598
"LMD",15,8,0.905434533203412,0.906523816655261
"LMD",15,9,0.978250096531692,0.967711413512626
"LMD",15,10,0.964360096911558,0.976782481727151
"LMD",15,11,0.907973017521183,0.885759702849017
"LMD",15,12,0.981127052988204,0.980008893802469
"LMD",15,13,0.896510658359027,0.896283430164203
"LMD",15,14,0.974482862942903,0.972907276258364
"LMD",15,15,0.89744031022998,0.902136532242187
"LMD",15,16,0.894654433008882,0.927949858975068
"LMD",15,17,0.880777181281626,0.912859630267863
"LMD",15,18,0.968604785843313,0.978474902408083
"LMD",15,19,0.970715359504044,0.979150686079927
"LMD",15,20,0.874578483835797,0.906318160094458
"LMD",16,1,0.947512653578946,0.951365070731703
"LMD",16,2,0.956762917761432,0.965537984014692
"LMD",16,3,0.914094188943178,0.931049012169289
"LMD",16,4,0.938076405667659,0.943990597545907
"LMD",16,5,0.971297705227604,0.973558455278483
"LMD",16,6,0.878299083612127,0.911639451735518
"LMD",16,7,0.982646562036641,0.976352677040922
"LMD",16,8,0.936574818776383,0.950945750271022
"LMD",16,9,0.942574742057194,0.933973500696143
"LMD",16,10,0.891061733301005,0.919359098182158
"LMD",16,11,0.902727087736844,0.894951822142017
"LMD",16,12,0.90240006990747,0.914562313415545
"LMD",16,13,0.966815070714591,0.971462260271087
"LMD",16,14,0.91918511031789,0.904001491631056
"LMD",16,15,0.967216193990268,0.980047298945363
"LMD",16,16,0.873354140416603,0.907224808069876
