"","species","family","order","morpho_FSp","morpho_FUn","morpho_FUSE","morpho_FDis","lifehistory_FSp","lifehistory_FUn","lifehistory_FUSE","lifehistory_FDis","diet_FSp","diet_FUn","diet_FUSE","diet_FDis","aggregated_FSp","aggregated_FUn","aggregated_FUSE","aggregated_FDis"
"11","Acanthiza_inornata","Acanthizidae","Passeriformes",0.38274787207361,0.0415968208123659,0.0228455712861605,0.424344692885976,0.110541922580322,0.0227688846629416,0.00724402282299747,0.133310807243264,0.142849617921198,9.47760355899341e-14,0.00775997357003074,0.142849617921293,0.259292999512077,0.208244075304754,0.0251366391851389,0.467537074816831
"12","Acanthiza_iredalei","Acanthizidae","Passeriformes",0.36047763374282,0.0316394045650337,0.020287030808429,0.392117038307853,0.0836549995666968,0.0131074211981879,0.00505660647827299,0.0967624207648847,0.0990485675116255,8.27413406835464e-14,0.005175670664471,0.0990485675117082,0.229680478956012,0.139678027275835,0.0191241893544916,0.369358506231847
"13","Acanthiza_katherina","Acanthizidae","Passeriformes",0.321176813600028,0.0407715577903656,0.0752814547886846,0.361948371390393,0.106281374236585,0.0232486916229042,0.0276360020265873,0.12953006585949,0.139180549421729,1.26563660260655e-14,0.0296628906818008,0.139180549421741,0.212184840142965,0.040688964494136,0.0532198549979446,0.252873804637101
"14","Acanthiza_lineata","Acanthizidae","Passeriformes",0.332808318990276,0.0272044170788389,0.0237265683264267,0.360012736069115,0.0872375730526386,0.0159381488762289,0.00686026552294068,0.103175721928867,0.131293586043299,0.316145430308787,0.0294005366847,0.447439016352086,0.216276110766972,0.304327401523152,0.0341231739985876,0.520603512290124
"15","Acanthiza_murina","Acanthizidae","Passeriformes",0.296206407342217,0.0644620939388803,0.0109887798395292,0.360668501281098,0.116997151224878,0.0131455236584975,0.00398734627782661,0.130142674883375,0.139180549421729,1.23549853880394e-14,0.00426331259524015,0.139180549421741,0.196072656147662,0.109850977073001,0.00933311943711306,0.305923633220663
"16","Acanthiza_nana","Acanthizidae","Passeriformes",0.345856528206047,0.0333173275139264,0.0138354717271189,0.379173855719973,0.0954771060501276,0.0123515280386435,0.00395919432645497,0.107828634088771,0.0996752789438213,7.87764086447879e-14,0.00366051666637002,0.0996752789439,0.220093106779419,0.113071881245805,0.012169509792687,0.333164988025224
"17","Acanthiza_pusilla","Acanthizidae","Passeriformes",0.328698827727533,0.0201405393070171,0.0142855311093692,0.34883936703455,0.0887185025822437,0.0163359349480928,0.00432634085987512,0.105054437530336,0.0287072906703797,2.52852673985695e-13,0.00118431364576508,0.0287072906706325,0.191544111098555,0.156994537905116,0.0142733144245865,0.348538649003671
"18","Acanthiza_reguloides","Acanthizidae","Passeriformes",0.346242314868079,0.0269721703068688,0.0209563877929985,0.373214485174948,0.127033840015287,0.0346282534587458,0.00913727827045716,0.161662093474033,0.0952387093155914,2.87749412906224e-13,0.00539416601179341,0.0952387093158792,0.224175285647771,0.165395391893058,0.0218637777811939,0.389570677540829
"19","Acanthiza_robustirostris","Acanthizidae","Passeriformes",0.344819519537764,0.025438699409815,0.0200250954641519,0.370258218947579,0.0806103282915427,0.0204619964023337,0.00551300453872236,0.101072324693876,0.139180549421729,1.22445706604681e-14,0.00758244207779033,0.139180549421741,0.226224975367653,0.0350213122871815,0.0141776920937964,0.261246287654834
"20","Acanthiza_uropygialis","Acanthizidae","Passeriformes",0.341758570135034,0.014731910570001,0.0178119725363205,0.356490480705035,0.094134206055961,0.0103454162726784,0.00526073911991614,0.104479622328639,0.0990485675116253,8.15798442583332e-14,0.00498811174204659,0.0990485675117069,0.216675498723615,0.135214671857637,0.0175845766702217,0.351890170581252
"21","Acanthorhynchus_superciliosus","Meliphagidae","Passeriformes",0.247776896944764,0.042658903497291,0.012391312041635,0.290435800442055,0.1874503102429,0.0724083783559749,0.011096330819063,0.259858688598875,0.669860406297064,3.90879337474599e-13,0.0282784897569415,0.669860406297454,0.350171555114098,0.170123631350117,0.0220556782711612,0.520295186464215
"22","Acanthorhynchus_tenuirostris","Meliphagidae","Passeriformes",0.192225902023076,0.0604185070064746,0.0114432418296888,0.252644409029551,0.115896257320125,0.0565663050810326,0.00782992849083146,0.172462562401158,0.410751514801989,2.45757768530497e-14,0.0185188611819963,0.410751514802013,0.219619494422076,0.17078332759737,0.0176118496552853,0.390402822019446
"23","Acanthornis_magna","Acanthizidae","Passeriformes",0.271824928546545,0.0522789197452999,0.0172877048205904,0.324103848291845,0.0909833406061401,0.0288029056427604,0.00643174115235931,0.119786246248901,0.139180549421728,1.24348665914807e-14,0.00746837848707412,0.139180549421741,0.175085008783813,0.0639683126012775,0.0127860856976911,0.23905332138509
"24","Accipiter_albogularis","Accipitridae","Accipitriformes",0.373191808763309,0.0901511423685192,0.0183839238450624,0.463342951131828,0.176459919503677,0.0215738451423092,0.00791308493049984,0.198033764645987,0.960880384985259,3.0818838807222e-13,0.0376325164043255,0.960880384985567,0.510191626066104,0.204892927759613,0.0281851125437268,0.715084553825717
"25","Accipiter_badius","Accipitridae","Accipitriformes",0.252261295578535,0.0922307074020949,0.0194888699619532,0.34449200298063,0.190446432761646,0.0576852193594115,0.0140818137449786,0.248131652121058,0.86600912534633,0.272149942534475,0.06278210202336,1.1381590678808,0.425699332564645,0.293825812600546,0.0402163191550986,0.719525145165191
"26","Accipiter_bicolor","Accipitridae","Accipitriformes",0.360615486615804,0.134661253765342,0.0209049372565644,0.495276740381146,0.144278063914648,0.0624053517723839,0.00878998137626081,0.206683415687032,0.967888377407723,1.58127924685924e-14,0.0403608768140249,0.967888377407738,0.502990010273616,0.255931172063895,0.0318158866916972,0.758921182337511
"27","Accipiter_brachyurus","Accipitridae","Accipitriformes",0.291915598853452,0.0964340288462194,0.0933900758014594,0.388349627699671,0.172925896615254,0.0310240192498523,0.0501805816147569,0.203949915865106,0.967888377407723,1.61001586591965e-14,0.217777848359906,0.967888377407739,0.477132719956736,0.137253294546567,0.143832255866386,0.614386014503303
"28","Accipiter_brevipes","Accipitridae","Accipitriformes",0.328504969347297,0.0773944974516792,0.0179164117245417,0.405899466798976,0.252629234619378,0.0561124267442318,0.0136724360988745,0.30874166136361,0.474720570801383,0.249611419602171,0.0316360957115506,0.724331990403554,0.338398361329063,0.37581848662553,0.031204672210634,0.714216847954593
"29","Accipiter_castanilius","Accipitridae","Accipitriformes",0.212300323202066,0.124930948644998,0.00935798195342935,0.337231271847064,0.137386144459786,0.0536165099126799,0.0053178527105699,0.191002654372466,0.887411065799789,3.46628270478713e-14,0.0243246504207891,0.887411065799823,0.412399237973073,0.241952634969166,0.0180291003914085,0.65435187294224
"30","Accipiter_cirrocephalus","Accipitridae","Accipitriformes",0.32714181955668,0.0758592799938827,0.0182447201614162,0.403001099550563,0.187627464929739,0.0562559151356009,0.0111025762143794,0.24388338006534,0.887411065799788,3.45971410502728e-14,0.0395159398068787,0.887411065799823,0.464059376263908,0.146427859330148,0.02744116689044,0.610487235594056
"31","Accipiter_cooperii","Accipitridae","Accipitriformes",0.400331307824339,0.113420273078612,0.0214300109655854,0.513751580902951,0.232610165813256,0.0572301895967704,0.0121685541938308,0.289840355410027,0.964422049906337,8.86913818838449e-14,0.0397171193680251,0.964422049906426,0.532736382275834,0.245552103203435,0.0322204262758215,0.778288485479269
"32","Accipiter_erythrauchen","Accipitridae","Accipitriformes",0.285500875919548,0.0764980157946242,0.04115623231719,0.361998891714172,0.171995371930181,0.0422400907494769,0.0245628277552576,0.214235462679658,0.967888377407717,1.19833037620861e-14,0.106431482079552,0.967888377407729,0.474498612746875,0.142382340752741,0.0691413877077886,0.616880953499617
"33","Accipiter_erythropus","Accipitridae","Accipitriformes",0.148787850767528,0.0806261423721516,0.00943011047860974,0.229413993139679,0.157722193403788,0.0758825176949295,0.00960099065139913,0.233604711098718,0.581937797038942,0.336748745720337,0.0369006484087929,0.918686542759279,0.274683478992957,0.364761065653736,0.0259224846551784,0.639444544646693
