"","X50","X99","X100"
"LMD",0.0208235831330266,0.141793573807877,0.186159970861061
"M",0.0295278560358465,0.20418959840546,0.300706913690307
"D",0.012935919481114,0.471414758013673,0.65500530757256
"L",0.0100785664112805,0.0956553095239307,0.139551716242942
